user,mode,dt,d_km,slope,t_a,t_b,lat_a,lng_a,lat_b,lng_b,near_frontier,reach_frac
3,walking,13.0,0.324,40.1,73.0,60.0,51.53387,-0.02011,51.53659,-0.01845,False,0.302
3,walking,13.0,0.324,40.1,72.0,85.0,51.53135,-0.01716,51.52863,-0.01882,False,0.302
3,walking,13.0,0.346,37.5,90.0,77.0,51.52988,0.00886,51.53239,0.00591,False,0.302
5,cycling,13.0,0.32,40.6,103.0,90.0,51.49908,-0.02787,51.49887,-0.03248,False,0.783
3,walking,13.0,0.32,40.6,22.0,35.0,51.55838,-0.00515,51.55858,-0.00053,False,0.302
5,cycling,13.0,0.346,37.5,109.0,96.0,51.48629,-0.01773,51.48377,-0.01478,False,0.783
0,cycling,13.0,0.324,40.1,106.0,93.0,51.53298,-0.15531,51.53025,-0.15697,False,0.677
0,cycling,13.0,0.32,40.6,106.0,93.0,51.53298,-0.15531,51.53319,-0.15069,False,0.677
3,walking,13.0,0.32,40.6,52.0,65.0,51.57784,0.01573,51.57805,0.02035,False,0.302
0,cycling,13.0,0.346,37.5,106.0,93.0,51.48629,-0.01773,51.48377,-0.01478,False,0.677
3,walking,13.0,0.32,40.7,107.0,120.0,51.57446,0.05856,51.57466,0.06318,True,0.302
2,transit,13.0,0.347,37.5,84.0,71.0,51.47216,-0.15186,51.46965,-0.14891,False,1.0
2,transit,13.0,0.347,37.5,73.0,86.0,51.46683,-0.20891,51.46432,-0.20594,False,1.0
3,walking,13.0,0.32,40.7,105.0,92.0,51.56629,0.05357,51.56609,0.04895,False,0.302
5,cycling,13.0,0.324,40.1,79.0,66.0,51.53298,-0.15531,51.53025,-0.15697,False,0.783
5,cycling,13.0,0.32,40.6,79.0,66.0,51.53298,-0.15531,51.53319,-0.15069,False,0.783
2,transit,13.0,0.32,40.7,56.0,43.0,51.55582,0.05613,51.55602,0.06075,False,1.0
3,walking,13.0,0.32,40.6,101.0,88.0,51.56881,0.05062,51.5686,0.046,False,0.302
3,walking,13.0,0.346,37.5,109.0,122.0,51.51877,-0.0024,51.51626,0.00055,True,0.302
2,transit,13.0,0.347,37.5,55.0,68.0,51.50426,-0.14583,51.50174,-0.14287,False,1.0
0,cycling,12.0,0.324,37.0,49.0,61.0,51.48372,-0.13139,51.48645,-0.12974,False,0.677
2,transit,12.0,0.347,34.6,81.0,69.0,51.53858,-0.20579,51.53607,-0.20283,False,1.0
3,walking,12.0,0.32,37.5,103.0,115.0,51.56106,0.05485,51.56126,0.05947,True,0.302
2,transit,12.0,0.324,37.0,55.0,67.0,51.50426,-0.14583,51.50153,-0.14749,False,1.0
2,transit,12.0,0.346,34.7,41.0,53.0,51.50347,0.01068,51.50599,0.00774,False,1.0
5,cycling,12.0,0.324,37.0,84.0,96.0,51.55185,-0.14833,51.55458,-0.14667,False,0.783
3,walking,12.0,0.346,34.6,103.0,91.0,51.57075,-0.08292,51.56823,-0.07996,False,0.302
