idx,lat,lng,driving_o0,cycling_o0,transit_o0,walking_o0,driving_o1,driving_o2,driving_o3,n_modes_anom,n_origins_anom
208,51.48997,-0.16797,1.0,-1.5,2.5,,0.5,1.5,1.0,0,0
209,51.57296,0.08459,-1.0,,-2.5,,-1.0,-1.0,-1.0,0,0
210,51.49442,-0.12938,-1.0,-0.5,0.0,,-1.0,-1.0,0.0,0,0
211,51.48666,-0.12512,-2.0,0.5,-5.5,2.0,-2.0,-1.0,-2.0,0,0
212,51.46483,-0.13838,1.0,-0.5,-1.5,0.0,-0.5,3.0,2.0,0,0
213,51.56521,0.08881,-1.0,,3.0,,-0.5,-0.5,-1.0,0,0
214,51.48221,-0.1637,1.0,0.0,4.0,-0.5,2.0,-0.5,-1.0,0,0
215,51.57095,-0.01992,0.0,,0.5,,3.0,0.0,-0.5,0,0
216,51.55021,-0.0685,0.0,-1.0,1.5,,-0.5,-0.5,-1.0,0,0
217,51.47894,-0.06255,-1.0,-1.0,0.0,,-0.5,-0.5,0.0,0,0
218,51.55461,-0.0299,4.0,,-0.5,,4.0,4.5,4.5,0,0
219,51.44012,-0.0996,0.0,-1.5,-1.5,-5.0,-0.5,0.5,1.0,0,0
220,51.48335,-0.024,-0.5,-1.0,-1.5,,0.5,0.5,1.0,0,0
221,51.43567,-0.13814,0.5,2.5,2.0,1.5,0.5,0.0,0.5,0,0
222,51.55977,0.08548,-0.5,,-3.0,,-0.5,-1.5,-0.5,0,0
223,51.49761,-0.00186,1.0,-2.5,-1.5,,4.5,2.0,2.5,0,0
224,51.53908,0.03692,0.0,,-0.5,,0.0,0.0,0.0,0,0
225,51.54344,0.07549,2.0,,1.0,,2.0,1.0,1.5,0,0
226,51.57641,-0.07498,0.5,,1.5,,-1.5,-0.5,-1.0,0,0
227,51.50954,0.02784,1.5,,-2.5,,1.5,0.0,1.0,0,0
228,51.5856,0.01149,1.0,,0.5,,1.0,0.5,0.5,0,0
229,51.50515,-0.01071,0.0,1.0,0.0,,0.0,1.0,0.0,0,0
230,51.58996,0.0501,-1.0,,-2.0,,-2.0,-1.0,-1.0,0,0
231,51.50419,-0.20421,3.0,2.0,0.5,,1.5,3.0,2.0,0,0
232,51.5472,-0.19158,0.0,-3.0,-5.0,,-0.5,-1.0,-1.0,0,0
233,51.48781,-0.21414,-0.5,-1.5,-2.0,,0.5,1.0,1.5,0,0
234,51.52171,-0.05445,2.0,0.0,0.0,,1.0,1.0,0.0,0,0
235,51.51762,-0.20056,0.0,2.0,3.0,,-1.0,0.0,-0.5,0,0
236,51.50409,-0.0921,0.0,-1.5,-0.5,,1.0,2.0,2.0,0,0
237,51.51891,-0.17284,2.0,1.5,-1.0,,2.5,2.0,1.5,0,0
238,51.50536,-0.06441,0.5,-2.0,4.0,,0.5,0.5,0.5,0,0
239,51.51018,-0.07494,-1.0,-1.5,-5.5,,-2.5,-3.0,-3.0,0,0
240,51.51542,-0.0179,-0.5,0.0,1.5,,-0.5,1.0,0.5,0,0
241,51.51981,0.02066,-0.5,,-1.0,,-0.5,-1.5,-1.0,0,0
242,51.49908,-0.02787,0.5,2.5,5.0,,0.0,-1.0,-1.0,0,0
243,51.53571,-0.15366,-1.0,-4.0,3.5,,-0.5,-0.5,-0.5,0,0
244,51.42834,-0.12466,0.5,-0.5,-2.5,-3.5,0.5,0.0,-0.5,0,0
245,51.53126,-0.19228,1.0,3.0,1.5,,0.5,0.0,-1.0,0,0
246,51.49248,-0.17093,-1.0,-1.0,-2.5,,-0.5,0.5,-0.5,0,0
247,51.55207,-0.14371,0.5,7.0,-1.5,,0.5,0.0,0.0,0,0
248,51.57548,0.08164,0.0,,0.5,,1.0,1.0,1.0,0,0
249,51.48235,-0.21745,1.0,1.0,1.0,,0.5,0.0,1.0,0,0
250,51.54174,-0.19489,0.5,-1.0,0.5,,-0.5,0.0,0.0,0,0
251,51.49693,-0.13234,0.0,-1.0,4.0,,0.0,-1.0,-2.0,0,0
252,51.47611,-0.18086,4.0,4.5,4.0,3.5,0.5,1.0,2.0,0,0
253,51.49873,-0.20752,-0.5,-0.5,0.5,,-0.5,-0.5,0.0,0,0
254,51.46735,-0.14133,0.0,0.0,-1.0,-2.0,0.0,-0.5,0.0,0,0
255,51.56467,-0.04172,-1.0,,0.0,,-1.0,-3.0,-2.0,0,0
256,51.57347,-0.02287,-1.0,,3.5,,-0.5,0.0,-0.5,0,0
257,51.4358,-0.19183,1.5,-0.5,-0.5,0.0,1.5,3.0,3.5,0,0
258,51.55273,-0.07145,-1.0,-1.5,1.0,,-1.0,1.0,0.0,0,0
259,51.48146,-0.06551,0.0,-1.5,2.0,,0.0,0.0,0.5,0,0
260,51.55713,-0.03285,1.5,,1.0,,0.5,4.5,4.5,0,0
261,51.45219,-0.18191,0.0,-0.5,0.5,-2.0,0.0,0.5,0.0,0,0
262,51.48587,-0.02695,1.0,4.0,5.0,,1.5,2.5,1.5,0,0
263,51.45088,-0.2096,0.0,2.5,2.5,6.0,0.0,1.0,0.0,0,0
264,51.46509,-0.07546,-0.5,-2.0,4.0,,0.0,-0.5,0.5,0,0
265,51.55207,0.0314,0.0,,3.0,,-0.5,-0.5,-0.5,0,0
266,51.56228,0.08253,1.5,,0.5,,1.5,2.0,2.0,0,0
267,51.54159,0.03397,-1.0,,-3.5,,-1.0,-0.5,-0.5,0,0
268,51.54596,0.07254,2.0,,6.0,,1.5,1.0,0.5,0,0
269,51.57892,-0.07794,-0.5,,2.5,,1.0,1.0,1.0,0,0
270,51.55816,-0.12653,0.0,,-0.5,,0.0,0.5,0.5,0,0
271,51.58811,0.00854,-0.5,,1.5,,-2.0,-0.5,-0.5,0,0
272,51.44508,-0.1638,-0.5,-0.5,4.0,-2.5,0.5,1.0,1.0,0,0
273,51.5067,-0.20718,-2.5,1.0,-5.5,,-1.5,-1.0,-1.0,0,0
274,51.54971,-0.19455,0.0,-0.5,0.5,,0.0,0.5,0.5,0,0
275,51.56969,-0.10603,0.0,,-0.5,,-1.0,1.5,1.0,0,0
276,51.49032,-0.21711,0.0,4.0,-2.5,,0.0,-2.0,-2.0,0,0
277,51.56527,-0.14466,2.5,,1.0,,0.5,2.0,2.0,0,0
278,51.551,-0.16681,-1.0,0.0,-4.0,,-1.0,0.0,0.0,0,0
279,51.51941,-0.04688,1.0,0.0,-2.5,,1.5,-1.0,-0.5,0,0
280,51.52013,-0.20352,-1.5,-2.5,-1.0,,-0.5,-0.5,0.0,0,0
281,51.49864,-0.09542,0.0,1.5,0.5,,-0.5,0.0,0.0,0,0
282,51.52142,-0.1758,2.5,0.0,0.0,,0.0,2.5,2.0,0,0
283,51.538,0.07215,-2.0,,-1.5,,-1.0,-1.0,-1.0,0,0
284,51.50305,-0.05684,1.5,7.0,5.0,,0.5,0.0,0.0,0,0
285,51.53677,0.04448,0.0,,3.0,,0.0,-0.5,-0.5,0,0
286,51.51312,-0.01034,1.0,1.0,1.0,,0.5,0.5,0.5,0,0
287,51.55433,0.08215,0.0,,4.5,,-0.5,0.0,0.0,0,0
288,51.51437,0.01733,0.0,,-1.5,,0.0,-1.0,-1.0,0,0
289,51.5531,0.05447,-3.5,,2.0,,-3.5,-1.0,-1.0,0,0
290,51.49677,-0.02031,0.0,-0.5,1.0,,0.0,0.5,1.0,0,0
291,51.42604,-0.1171,1.0,-1.0,3.0,-1.0,1.0,1.0,0.5,0,0
292,51.49019,-0.16335,1.0,0.5,-3.5,,1.5,1.0,1.5,0,0
293,51.57316,0.0892,0.5,,-4.5,,0.0,0.0,0.0,0,0
294,51.49148,-0.13565,0.0,1.0,-2.0,,-1.0,0.0,0.0,0,0
295,51.46594,-0.05701,-1.0,0.0,-0.5,,-0.5,-0.5,-1.5,0,0
296,51.47381,-0.17328,0.0,-1.0,-2.0,-2.0,-0.5,0.0,-0.5,0,0
297,51.46467,-0.08468,-1.0,-0.5,-2.5,,-1.0,-1.0,-1.0,0,0
298,51.56237,-0.03414,4.0,,-5.0,,2.5,3.5,2.5,0,0
299,51.4779,-0.02732,0.5,0.0,2.5,,0.5,2.0,2.5,0,0
300,51.54917,-0.03322,0.5,,0.0,,0.0,1.0,0.5,0,0
301,51.47664,-0.05499,0.0,-1.5,1.5,,0.0,0.5,0.0,0,0
302,51.54791,-0.06092,1.5,,-1.5,,1.5,-0.5,-1.0,0,0
303,51.5655,-0.02325,1.0,,2.5,,0.0,-0.5,0.0,0,0
304,51.55042,-0.06388,0.0,-0.5,1.0,,-0.5,-2.0,0.0,0,0
305,51.56425,-0.05095,-0.5,,-2.5,,-0.5,0.5,1.5,0,0
306,51.47915,-0.05794,0.5,0.5,-1.5,,-1.5,-0.5,0.0,0,0
307,51.55168,-0.03617,-1.0,,-0.5,,-1.0,-0.5,-1.0,0,0
308,51.48042,-0.03027,-1.0,0.0,1.5,,-1.0,-1.5,-1.0,0,0
309,51.46279,-0.06789,1.0,2.5,-0.5,,0.5,-0.5,0.0,0,0
