pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
trunc_square,385,2696,137.1829,137.1829,137.1691,0.0,0.0101,0.0101,0.0638,2495,13480,0.1851,True,28,3700,0.0101,bengaluru,5,11
poisson,396,2702,137.259,137.259,137.1691,0.0,0.0656,0.0656,0.1605,2645,13510,0.1958,True,39,3810,0.0656,bengaluru,5,11
h3,589,4143,277.728,277.728,277.4395,0.0,0.104,0.104,0.2697,3012,24858,0.1212,True,4,4482,0.104,bengaluru,6,0
square,608,4257,277.6719,277.6719,277.4395,0.0,0.0837,0.0837,0.0799,3114,25542,0.1219,True,5,4770,0.0837,bengaluru,6,0
octile,608,4257,277.6719,277.6719,277.4395,0.0,0.0837,0.0837,0.0799,3162,25542,0.1238,True,5,4812,0.0837,bengaluru,6,0
triangle,608,4255,277.6266,277.6266,277.4395,0.0,0.0674,0.0674,0.0988,3024,25530,0.1184,True,12,4950,0.0674,bengaluru,6,0
trunc_square,604,4251,277.8711,277.8711,277.4395,0.0,0.1556,0.1556,0.3279,3012,25506,0.1181,True,7,4806,0.1556,bengaluru,6,0
poisson,612,4331,277.8788,277.8788,277.4395,0.0,0.1584,0.1584,0.2919,3126,25986,0.1203,True,7,4818,0.1584,bengaluru,6,0
h3,540,3771,303.9518,303.9518,303.6301,0.0,0.1059,0.1059,0.1364,3030,22626,0.1339,True,6,4164,0.1059,bengaluru,6,1
square,551,3858,304.0739,304.0739,303.6301,0.0,0.1462,0.1462,0.1689,3048,23148,0.1317,True,11,4536,0.1462,bengaluru,6,1
octile,551,3858,304.0739,304.0739,303.6301,0.0,0.1462,0.1462,0.1689,3096,23148,0.1337,True,11,4566,0.1462,bengaluru,6,1
triangle,551,3853,303.6302,303.6302,303.6301,0.0,0.0,0.0,0.0065,3048,23118,0.1318,True,12,4566,0.0,bengaluru,6,1
trunc_square,554,3858,303.7082,303.7082,303.6301,0.0,0.0257,0.0257,0.0742,3072,23148,0.1327,True,5,4404,0.0257,bengaluru,6,1
poisson,557,3893,303.9684,303.9684,303.6301,0.0,0.1114,0.1114,0.2916,3108,23358,0.1331,True,9,4488,0.1114,bengaluru,6,1
h3,1089,7608,2566.506,2221.2613,2221.2613,15.5427,0.0,15.5427,0.0,3120,45648,0.0683,True,23,8418,0.0,bengaluru,6,2
